Name;Size;"First name";"Last name";Downloads;Date;Path
VS_05_Webservices.pdf;759199;Georg;Hinkel;14;"03.05.2024 11:29";VS_05_Webservices.pdf
VS_04_RPCs.pdf;756688;Georg;Hinkel;18;"03.05.2024 11:28";VS_04_RPCs.pdf
VS_03_WorldWideWeb.pdf;981659;Georg;Hinkel;26;"03.05.2024 11:26";VS_03_WorldWideWeb.pdf
